taxlevel	rankID	taxon	daughterlevels	total	00_SrnOcean_DCM	01_SrnOcean_SURF	02_SrnOcean_MESO	03_SPac_DCM	04_SPac_SURF	05_SPac_MESO	06_NPac_DCM	07_NPac_MESO	08_NPac_SURF	09_NAtl_SURF	10_AraSea_MESO
3	0.2.8.1	Candidate_division_OP11_unclassified	1	2	0	0	0	0	0	0	0	0	0	0	2
3	0.2.9.1	Candidate_division_OP3_unclassified	1	7	0	0	0	0	0	0	0	0	0	0	7
3	0.2.10.1	Candidate_division_OP8_unclassified	1	1	0	0	0	0	0	0	0	0	0	0	1
3	0.2.11.1	Candidate_division_TM7_unclassified	1	39	0	0	0	3	1	12	8	14	0	0	1
3	0.2.12.1	Chlamydiae	1	11	0	0	0	1	4	2	0	2	0	0	2
3	0.2.13.1	Ignavibacteria	1	1	0	0	0	0	0	0	0	0	1	0	0
3	0.2.14.1	Anaerolineae	1	1	0	0	0	0	0	1	0	0	0	0	0
3	0.2.14.2	Chloroflexi_unclassified	1	114	0	0	15	7	0	10	1	23	0	1	57
3	0.2.14.3	Dehalococcoidia	2	67	0	0	0	0	0	0	0	0	0	0	67
3	0.2.14.4	SAR202_clade	1	514	0	0	123	71	2	65	26	121	0	12	94
3	0.2.15.1	Chloroplast	1	182	23	66	25	3	13	1	15	0	15	21	0
3	0.2.15.2	Cyanobacteria	2	6351	60	37	2	762	1376	269	762	8	2123	950	2
3	0.2.15.3	Cyanobacteria_unclassified	1	506	147	144	4	7	35	3	61	0	22	83	0
3	0.2.16.1	Deferribacteres	1	3192	1	0	289	361	366	337	635	328	173	231	471
3	0.2.17.1	Bacilli	3	50	0	0	40	0	0	1	2	5	0	2	0
3	0.2.17.2	Clostridia	1	2	0	0	2	0	0	0	0	0	0	0	0
3	0.2.17.3	Firmicutes_unclassified	1	3	0	0	2	0	0	1	0	0	0	0	0
3	0.2.17.4	Negativicutes	1	1	0	0	0	0	0	0	1	0	0	0	0
3	0.2.18.1	Gemmatimonadetes	3	176	0	0	54	6	0	57	0	44	0	1	14
3	0.2.19.1	Lentisphaerae_unclassified	1	24	0	0	18	0	0	2	0	3	0	1	0
3	0.2.19.2	Lentisphaeria	1	22	0	0	19	1	0	1	0	1	0	0	0
3	0.2.19.3	ML1228J-2	1	1	0	0	0	0	0	0	0	1	0	0	0
3	0.2.19.4	Oligosphaeria	1	2	0	0	1	0	0	0	0	1	0	0	0
3	0.2.20.1	OM190	1	10	0	0	2	0	6	2	0	0	0	0	0
3	0.2.20.2	Phycisphaerae	3	76	0	0	11	18	11	12	1	11	5	0	7
3	0.2.20.3	Planctomycetacia	3	485	0	0	50	14	0	15	6	16	3	6	375
3	0.2.20.4	Planctomycetes_unclassified	1	56	0	0	11	5	6	9	1	12	0	1	11
3	0.2.21.1	AEGEAN-245	1	31	0	0	1	4	0	1	19	5	0	1	0
3	0.2.21.2	Alphaproteobacteria	10	27920	1912	2868	1223	2980	3621	2353	2531	1937	3534	3474	1487
3	0.2.21.3	Betaproteobacteria	5	240	61	42	7	0	13	6	44	9	8	48	2
3	0.2.21.4	Deltaproteobacteria	10	3887	34	0	1191	111	27	684	380	852	64	50	494
3	0.2.21.5	Epsilonproteobacteria	2	6	1	0	1	0	0	1	0	0	0	0	3
3	0.2.21.6	Gammaproteobacteria	18	17308	3275	2886	1765	2306	957	1112	525	1751	780	874	1077
3	0.2.21.7	JTB23	1	2	0	0	2	0	0	0	0	0	0	0	0
3	0.2.21.8	Proteobacteria_unclassified	1	4613	165	157	342	519	459	428	532	475	586	479	471
3	0.2.22.1	Spirochaetes	1	7	0	0	1	0	0	0	0	1	1	0	4
3	0.2.23.1	TM6_unclassified	1	2	0	0	0	0	0	0	0	0	0	0	2
3	0.2.24.1	Mollicutes	1	1	0	0	0	0	0	1	0	0	0	0	0
3	0.2.25.1	Arctic97B-4_marine_group	1	325	0	0	126	16	10	42	39	66	0	21	5
